case_number,lawsuit_url,documents_listed_count,documents_with_gcs_url
CV-049866-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=Qju4IP2v2mRAC97bKsGUdw==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=3,1,0
CV-050134-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=yClf45KsgiFYk98Nnra0jA==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=3,1,0
CV-050136-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=ahxiYgxtXFA4_PLUS_E7Q/njn8Q==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=3,1,0
CV-050141-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=eEJQHNMNWG_PLUS_emnlAxekzlw==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=3,1,0
CV-050146-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=qGDGybM1oHtuiNOpOjXpXg==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=3,1,0
CV-050147-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=//EvUokwTtu30dRrOkaumA==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=3,1,0
CV-050150-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=hnthFTBtp9D6d7Yd/wtJgA==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=3,1,0
CV-050165-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=nT/4oHrNxgfeosBgBU4qCQ==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=3,1,0
CV-050178-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=6/PP6tb4FtFPkOpPJIEy6g==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=3,1,0
CV-050191-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=FGEoKRbrz7GfJpnmSdZg7A==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=3,1,0
CV-050192-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=_PLUS_a91c1qLJGFFbFqzvqgFUA==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=3,1,0
CV-050194-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=X1TK0lkJBNShZw6544zpUA==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=3,1,0
CV-050198-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=FMMIxVhJm86OgcEz2BA5Gw==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=3,1,0
